Merit Badge,Scoutbook ID
American Business,4
American Cultures,5
American Heritage,3
American Indian Culture,65
American Labor,6
Animal Science,152
Animation,150
Archery,9
Architecture,10
Art,11
Astronomy,12
Athletics,14
Aviation,15
Basketry,17
Bird Study,18
Botany,22
Bugling,19
Camping,20
Canoeing,21
Chess,135
Citizenship In Community,24
Citizenship In Nation,25
Citizenship in Society,154
Citizenship In World,26
Climbing,27
Collections,29
Communication,30
Composite Materials,31
Computers,32
Cooking,33
Crime Prevention,34
Cybersecurity,158
Cycling,35
Dentistry,36
Digital Technology,148
Disabilities Awareness,37
Dog Care,38
Drafting,39
Electricity,40
Electronics,41
Emergency Preparedness,42
Energy,43
Engineering,44
Entrepreneurship,45
Environmental Science,46
Exploration,153
Family Life,47
Farm Mechanics,48
Fingerprinting,49
Fire Safety,50
First Aid,51
Fishing,53
Fly Fishing,54
Forestry,55
Game Design,140
Gardening,56
Genealogy,57
Geocaching,58
Geology,59
Golf,60
Graphic Arts,61
Health Care Professions,155
Hiking,62
Home Repairs,63
Horsemanship,64
Insect Study,66
Inventing,67
Journalism,68
Kayaking,136
Landscape Architecture,69
Law,70
Leatherwork,71
Lifesaving,72
Mammal Study,73
Masonry,74
Metalwork,75
Mining in Society,147
Model Design,76
Motorboating,77
Moviemaking,23
Multisport,156
Music,78
Nature,79
Nuclear Science,80
Oceanography,81
Orienteering,82
Painting,83
Personal Fitness,84
Personal Management,85
Pets,86
Photography,87
Pioneering,88
Plant Science,89
Plumbing,90
Pottery,91
Programming,144
Public Health,92
Public Speaking,93
Pulp and Paper,94
Radio,95
Railroading,96
Reading,97
Reptile and Amphibian Study,98
Rifle Shooting,99
Robotics,132
Rowing,100
Safety,101
Salesmanship,102
Scholarship,104
Scouting Heritage,103
Scuba Diving,105
Sculpture,106
Search and Rescue,137
Shotgun Shooting,107
"Signs, Signals, and Codes",151
Skating,108
Small Boat Sailing,109
Soil and Water Conservation,111
Space Exploration,112
Sports,113
Stamp Collecting,114
Surveying,115
Sustainability,142
Swimming,116
Textile,117
Theater,118
Tracking,119
Traffic Safety,120
Truck Transportation,121
Veterinary Medicine,122
Water Sports,123
Weather,124
Welding,133
Whitewater,125
Wilderness Survival,126
Winter Sports,110
Wood Carving,127
Woodwork,128
